,0,1
0,0.882,0.118
1,0.95,0.05
2,0.798,0.202
3,0.666,0.334
4,0.92,0.08
5,0.9,0.1
6,0.608,0.392
7,0.944,0.056
8,0.804,0.196
9,0.95,0.05
10,0.702,0.298
11,0.606,0.394
12,0.668,0.332
13,0.56,0.44
14,0.888,0.112
15,0.86,0.14
16,0.724,0.276
17,0.942,0.058
18,0.836,0.164
19,0.754,0.246
20,0.542,0.458
21,0.902,0.098
22,0.754,0.246
23,0.724,0.276
24,0.636,0.364
25,0.718,0.282
26,0.96,0.04
27,0.632,0.368
28,0.63,0.37
29,0.854,0.146
30,0.374,0.626
31,0.766,0.234
32,0.832,0.168
33,0.59,0.41
34,0.91,0.09
35,0.95,0.05
36,0.814,0.186
37,0.974,0.026
38,0.806,0.194
39,0.966,0.034
40,0.474,0.526
41,0.954,0.046
42,0.582,0.418
43,0.79,0.21
44,0.662,0.338
45,0.818,0.182
46,0.582,0.418
