,0,1
0,0.732,0.268
1,0.71,0.29
2,0.718,0.282
3,0.724,0.276
4,0.738,0.262
5,0.716,0.284
6,0.52,0.48
7,0.74,0.26
8,0.722,0.278
9,0.966,0.034
10,0.788,0.212
11,0.936,0.064
12,0.398,0.602
13,0.716,0.284
14,0.642,0.358
15,0.896,0.104
16,0.878,0.122
17,0.912,0.088
18,0.796,0.204
19,0.64,0.36
20,0.868,0.132
21,0.84,0.16
22,0.536,0.464
23,0.8,0.2
24,0.872,0.128
25,0.884,0.116
26,0.818,0.182
27,0.726,0.274
28,0.704,0.296
29,0.676,0.324
30,0.542,0.458
31,0.86,0.14
32,0.762,0.238
33,0.836,0.164
34,0.906,0.094
35,0.936,0.064
36,0.97,0.03
37,0.924,0.076
38,0.914,0.086
39,0.696,0.304
40,0.972,0.028
41,0.946,0.054
42,0.728,0.272
43,0.764,0.236
44,0.718,0.282
45,0.78,0.22
46,0.686,0.314
