,0,1
0,0.944,0.056
1,0.934,0.066
2,0.704,0.296
3,0.87,0.13
4,0.564,0.436
5,0.802,0.198
6,0.572,0.428
7,0.756,0.244
8,0.612,0.388
9,0.288,0.712
10,0.68,0.32
11,0.284,0.716
12,0.366,0.634
13,0.182,0.818
14,0.678,0.322
15,0.404,0.596
16,0.85,0.15
17,0.816,0.184
18,0.916,0.084
19,0.794,0.206
20,0.642,0.358
21,0.382,0.618
22,0.924,0.076
23,0.982,0.018
24,0.98,0.02
25,0.386,0.614
26,0.686,0.314
27,0.758,0.242
28,0.072,0.928
29,0.788,0.212
30,0.854,0.146
31,0.768,0.232
32,0.77,0.23
33,0.898,0.102
34,0.562,0.438
35,0.766,0.234
36,0.724,0.276
37,0.958,0.042
38,0.782,0.218
39,0.9,0.1
40,0.92,0.08
41,0.56,0.44
42,0.88,0.12
43,0.584,0.416
44,0.952,0.048
45,0.888,0.112
46,0.766,0.234
