,0,1
0,0.776,0.224
1,0.782,0.218
2,0.854,0.146
3,0.636,0.364
4,0.748,0.252
5,0.956,0.044
6,0.944,0.056
7,0.57,0.43
8,0.66,0.34
9,0.432,0.568
10,0.928,0.072
11,0.95,0.05
12,0.758,0.242
13,0.912,0.088
14,0.42,0.58
15,0.862,0.138
16,0.738,0.262
17,0.508,0.492
18,0.772,0.228
19,0.938,0.062
20,0.62,0.38
21,0.59,0.41
22,0.47,0.53
23,0.638,0.362
24,0.912,0.088
25,0.562,0.438
26,0.7,0.3
27,0.656,0.344
28,0.736,0.264
29,0.644,0.356
30,0.942,0.058
31,0.55,0.45
32,0.516,0.484
33,0.754,0.246
34,0.522,0.478
35,0.564,0.436
36,0.958,0.042
37,0.556,0.444
38,0.776,0.224
39,0.954,0.046
40,0.91,0.09
41,0.902,0.098
42,0.538,0.462
43,0.54,0.46
44,0.696,0.304
45,0.492,0.508
46,0.55,0.45
