,0,1
0,0.51,0.49
1,0.494,0.506
2,0.76,0.24
3,0.674,0.326
4,0.688,0.312
5,0.238,0.762
6,0.34,0.66
7,0.66,0.34
8,0.614,0.386
9,0.174,0.826
10,0.704,0.296
11,0.36,0.64
12,0.626,0.374
13,0.36,0.64
14,0.822,0.178
15,0.212,0.788
16,0.25,0.75
17,0.892,0.108
18,0.552,0.448
19,0.87,0.13
20,0.83,0.17
21,0.958,0.042
22,0.288,0.712
23,0.948,0.052
24,0.086,0.914
25,0.308,0.692
26,0.576,0.424
27,0.912,0.088
28,0.356,0.644
29,0.388,0.612
30,0.554,0.446
31,0.84,0.16
32,0.368,0.632
33,0.976,0.024
34,0.574,0.426
35,0.764,0.236
36,0.656,0.344
37,0.396,0.604
