,0,1
0,0.634,0.366
1,0.454,0.546
2,0.28,0.72
3,0.582,0.418
4,0.496,0.504
5,0.278,0.722
6,0.54,0.46
7,0.894,0.106
8,0.216,0.784
9,0.22,0.78
10,0.658,0.342
11,0.612,0.388
12,0.942,0.058
13,0.7,0.3
14,0.426,0.574
15,0.71,0.29
16,0.756,0.244
17,0.662,0.338
18,0.924,0.076
19,0.614,0.386
20,0.196,0.804
21,0.942,0.058
22,0.994,0.006
23,0.766,0.234
24,0.992,0.008
25,0.32,0.68
26,0.996,0.004
27,0.932,0.068
28,0.302,0.698
29,0.994,0.006
30,0.916,0.084
31,0.864,0.136
32,0.58,0.42
33,0.898,0.102
34,0.178,0.822
35,0.924,0.076
36,0.852,0.148
37,0.96,0.04
38,0.318,0.682
39,0.27,0.73
40,0.68,0.32
41,0.942,0.058
42,0.27,0.73
43,0.96,0.04
44,0.15,0.85
45,0.756,0.244
46,0.488,0.512
47,0.87,0.13
48,0.994,0.006
49,0.61,0.39
50,0.98,0.02
51,0.964,0.036
52,0.208,0.792
