,0,1
0,0.438,0.562
1,0.608,0.392
2,0.6,0.4
3,0.69,0.31
4,0.73,0.27
5,0.66,0.34
6,0.706,0.294
7,0.364,0.636
8,0.622,0.378
9,0.656,0.344
10,0.622,0.378
11,0.514,0.486
12,0.626,0.374
13,0.654,0.346
14,0.462,0.538
15,0.36,0.64
16,0.688,0.312
17,0.86,0.14
18,0.748,0.252
19,0.544,0.456
20,0.52,0.48
21,0.698,0.302
22,0.716,0.284
23,0.654,0.346
24,0.862,0.138
25,0.826,0.174
26,0.808,0.192
27,0.656,0.344
28,0.68,0.32
29,0.682,0.318
30,0.652,0.348
31,0.77,0.23
32,0.836,0.164
33,0.82,0.18
34,0.474,0.526
35,0.788,0.212
36,0.73,0.27
37,0.316,0.684
