,0,1
0,0.39,0.61
1,0.748,0.252
2,0.59,0.41
3,0.46,0.54
4,0.802,0.198
5,0.914,0.086
6,0.55,0.45
7,0.526,0.474
8,0.61,0.39
9,0.408,0.592
10,0.496,0.504
11,0.814,0.186
12,0.628,0.372
13,0.718,0.282
14,0.626,0.374
15,0.494,0.506
16,0.738,0.262
17,0.768,0.232
18,0.912,0.088
19,0.784,0.216
20,0.774,0.226
21,0.548,0.452
22,0.686,0.314
23,0.278,0.722
24,0.566,0.434
25,0.764,0.236
26,0.808,0.192
27,0.906,0.094
28,0.784,0.216
29,0.524,0.476
30,0.534,0.466
31,0.67,0.33
32,0.348,0.652
33,0.624,0.376
34,0.54,0.46
35,0.828,0.172
36,0.726,0.274
37,0.53,0.47
