,0,1
0,0.59,0.41
1,0.402,0.598
2,0.694,0.306
3,0.434,0.566
4,0.702,0.298
5,0.696,0.304
6,0.894,0.106
7,0.486,0.514
8,0.906,0.094
9,0.7,0.3
10,0.934,0.066
11,0.552,0.448
12,0.882,0.118
13,0.19,0.81
14,0.778,0.222
15,0.716,0.284
16,0.754,0.246
17,0.846,0.154
18,0.724,0.276
19,0.366,0.634
20,0.724,0.276
21,0.852,0.148
22,0.766,0.234
23,0.918,0.082
24,0.946,0.054
25,0.488,0.512
26,0.254,0.746
27,0.506,0.494
28,0.41,0.59
29,0.646,0.354
30,0.89,0.11
31,0.546,0.454
32,0.652,0.348
33,0.588,0.412
34,0.322,0.678
35,0.914,0.086
36,0.976,0.024
37,0.74,0.26
