,0,1
0,0.794,0.206
1,0.772,0.228
2,0.832,0.168
3,0.178,0.822
4,0.848,0.152
5,0.072,0.928
6,0.904,0.096
7,0.148,0.852
8,0.95,0.05
9,0.296,0.704
10,0.144,0.856
11,0.64,0.36
12,0.524,0.476
13,0.716,0.284
14,0.22,0.78
15,0.846,0.154
16,0.13,0.87
17,0.938,0.062
18,0.024,0.976
19,0.996,0.004
20,0.398,0.602
21,0.282,0.718
22,0.49,0.51
23,0.534,0.466
24,0.93,0.07
25,0.908,0.092
26,0.874,0.126
27,0.99,0.01
28,0.926,0.074
29,0.942,0.058
30,0.942,0.058
31,0.674,0.326
32,0.902,0.098
33,1.0,0.0
34,0.94,0.06
35,0.234,0.766
36,0.094,0.906
37,0.466,0.534
38,0.614,0.386
39,0.746,0.254
40,0.61,0.39
41,0.822,0.178
42,0.36,0.64
43,0.21,0.79
44,0.686,0.314
45,0.598,0.402
46,0.328,0.672
47,0.918,0.082
48,0.956,0.044
49,0.968,0.032
50,0.896,0.104
51,0.958,0.042
52,0.388,0.612
