,0,1
0,0.664,0.336
1,0.778,0.222
2,0.448,0.552
3,0.894,0.106
4,0.998,0.002
5,0.714,0.286
6,0.126,0.874
7,0.774,0.226
8,0.364,0.636
9,0.862,0.138
10,0.056,0.944
11,0.056,0.944
12,0.042,0.958
13,0.13,0.87
14,0.688,0.312
15,0.626,0.374
16,0.87,0.13
17,0.796,0.204
18,0.746,0.254
19,0.81,0.19
20,1.0,0.0
21,0.544,0.456
22,0.89,0.11
23,0.998,0.002
24,0.032,0.968
25,0.234,0.766
26,0.848,0.152
27,0.998,0.002
28,0.57,0.43
29,0.664,0.336
30,0.582,0.418
31,0.028,0.972
32,0.716,0.284
33,0.748,0.252
34,0.818,0.182
35,0.068,0.932
36,0.872,0.128
37,0.362,0.638
38,0.178,0.822
39,0.942,0.058
40,0.394,0.606
41,0.532,0.468
42,1.0,0.0
