,0,1
0,0.85,0.15
1,0.088,0.912
2,0.254,0.746
3,0.646,0.354
4,0.826,0.174
5,0.298,0.702
6,0.94,0.06
7,0.43,0.57
8,0.496,0.504
9,0.978,0.022
10,0.248,0.752
11,0.194,0.806
12,0.032,0.968
13,0.798,0.202
14,0.91,0.09
15,0.846,0.154
16,0.834,0.166
17,0.356,0.644
18,0.46,0.54
19,0.26,0.74
20,0.07,0.93
21,0.486,0.514
22,0.286,0.714
23,0.796,0.204
24,0.84,0.16
25,0.884,0.116
26,0.362,0.638
27,0.846,0.154
28,0.92,0.08
29,0.928,0.072
30,0.704,0.296
31,0.81,0.19
32,0.232,0.768
33,0.928,0.072
34,0.922,0.078
35,0.896,0.104
36,0.804,0.196
37,0.756,0.244
38,0.56,0.44
39,0.906,0.094
40,0.55,0.45
41,0.214,0.786
42,0.37,0.63
43,0.618,0.382
44,0.46,0.54
45,0.252,0.748
46,0.49,0.51
47,0.204,0.796
48,0.9,0.1
49,0.894,0.106
50,0.266,0.734
51,0.934,0.066
52,0.968,0.032
53,0.876,0.124
54,0.75,0.25
55,0.878,0.122
56,0.526,0.474
57,0.406,0.594
58,0.828,0.172
59,0.292,0.708
