,0,1
0,0.608,0.392
1,0.552,0.448
2,0.962,0.038
3,0.51,0.49
4,0.554,0.446
5,0.9,0.1
6,0.036,0.964
7,0.478,0.522
8,0.396,0.604
9,0.564,0.436
10,0.026,0.974
11,0.0,1.0
12,0.134,0.866
13,0.568,0.432
14,0.482,0.518
15,0.964,0.036
16,0.334,0.666
17,0.368,0.632
18,0.978,0.022
19,0.374,0.626
20,0.524,0.476
21,0.522,0.478
22,0.934,0.066
23,0.512,0.488
24,0.78,0.22
25,0.516,0.484
26,0.548,0.452
27,0.768,0.232
28,0.286,0.714
29,0.226,0.774
30,0.542,0.458
31,0.598,0.402
32,0.324,0.676
33,0.456,0.544
34,0.37,0.63
35,0.51,0.49
36,0.946,0.054
37,0.898,0.102
38,0.446,0.554
39,0.55,0.45
40,0.0,1.0
41,0.586,0.414
42,0.99,0.01
