,0,1
0,0.556,0.444
1,0.936,0.064
2,0.494,0.506
3,0.958,0.042
4,0.992,0.008
5,0.986,0.014
6,0.824,0.176
7,0.404,0.596
8,0.408,0.592
9,0.944,0.056
10,0.826,0.174
11,0.078,0.922
12,0.634,0.366
13,0.31,0.69
14,0.514,0.486
15,0.416,0.584
16,0.26,0.74
17,0.798,0.202
18,0.452,0.548
19,0.21,0.79
20,0.376,0.624
21,0.116,0.884
22,0.444,0.556
23,0.986,0.014
24,0.632,0.368
25,0.866,0.134
26,0.412,0.588
27,0.6,0.4
28,0.31,0.69
29,0.234,0.766
30,0.572,0.428
31,0.466,0.534
32,0.57,0.43
33,0.66,0.34
34,0.98,0.02
35,0.57,0.43
36,0.174,0.826
37,0.674,0.326
38,0.676,0.324
39,0.89,0.11
40,0.87,0.13
41,0.212,0.788
42,0.708,0.292
43,0.556,0.444
44,0.558,0.442
45,0.354,0.646
46,0.508,0.492
47,0.366,0.634
48,0.342,0.658
49,0.602,0.398
50,0.288,0.712
51,0.42,0.58
52,0.532,0.468
53,0.36,0.64
54,0.244,0.756
55,0.788,0.212
56,0.2,0.8
57,0.764,0.236
58,0.706,0.294
59,0.55,0.45
