,0,1
0,0.922,0.078
1,0.618,0.382
2,0.782,0.218
3,0.966,0.034
4,0.636,0.364
5,0.89,0.11
6,0.426,0.574
7,0.546,0.454
8,0.66,0.34
9,0.132,0.868
10,0.404,0.596
11,0.796,0.204
12,0.656,0.344
13,0.32,0.68
14,0.768,0.232
15,0.634,0.366
16,0.244,0.756
17,0.29,0.71
18,0.406,0.594
19,0.252,0.748
20,0.588,0.412
21,0.62,0.38
22,0.648,0.352
23,0.652,0.348
24,0.6,0.4
25,0.922,0.078
26,0.074,0.926
27,0.16,0.84
28,0.544,0.456
29,0.354,0.646
30,0.632,0.368
31,0.99,0.01
32,0.75,0.25
33,0.796,0.204
34,0.174,0.826
35,0.834,0.166
36,0.12,0.88
37,0.67,0.33
38,0.502,0.498
39,0.5,0.5
40,0.1,0.9
41,0.776,0.224
42,0.342,0.658
43,0.642,0.358
44,0.494,0.506
45,0.72,0.28
46,0.494,0.506
47,0.656,0.344
48,0.042,0.958
49,0.404,0.596
50,0.782,0.218
51,0.206,0.794
52,0.12,0.88
53,0.196,0.804
54,0.686,0.314
55,0.87,0.13
56,0.196,0.804
57,0.59,0.41
58,0.726,0.274
59,0.162,0.838
