,0,1
0,0.272,0.728
1,0.844,0.156
2,0.818,0.182
3,0.67,0.33
4,0.576,0.424
5,0.624,0.376
6,0.7,0.3
7,0.978,0.022
8,0.844,0.156
9,0.318,0.682
10,0.798,0.202
11,0.61,0.39
12,0.878,0.122
13,0.754,0.246
14,0.886,0.114
15,0.576,0.424
16,0.918,0.082
17,0.982,0.018
18,0.784,0.216
19,0.822,0.178
20,0.786,0.214
21,0.478,0.522
22,0.778,0.222
23,0.262,0.738
24,0.672,0.328
25,0.922,0.078
26,0.524,0.476
27,0.844,0.156
28,0.79,0.21
29,0.226,0.774
30,0.984,0.016
31,0.606,0.394
32,0.984,0.016
33,0.662,0.338
34,0.43,0.57
35,0.692,0.308
36,0.466,0.534
37,0.8,0.2
38,0.566,0.434
39,0.392,0.608
40,0.814,0.186
41,0.602,0.398
42,0.302,0.698
