,0,1
0,0.676,0.324
1,0.898,0.102
2,0.966,0.034
3,0.064,0.936
4,0.48,0.52
5,0.792,0.208
6,0.63,0.37
7,0.012,0.988
8,0.974,0.026
9,0.958,0.042
10,0.264,0.736
11,0.62,0.38
12,0.8,0.2
13,0.932,0.068
14,0.812,0.188
15,0.23,0.77
16,0.968,0.032
17,0.86,0.14
18,0.846,0.154
19,0.994,0.006
20,0.71,0.29
21,0.356,0.644
22,0.964,0.036
23,0.996,0.004
24,0.176,0.824
25,0.68,0.32
26,0.1,0.9
27,0.886,0.114
28,0.984,0.016
29,0.83,0.17
30,0.716,0.284
31,0.57,0.43
32,0.9,0.1
33,0.846,0.154
34,0.866,0.134
35,0.926,0.074
36,0.912,0.088
37,0.748,0.252
38,0.804,0.196
39,0.812,0.188
40,0.87,0.13
41,0.996,0.004
42,0.084,0.916
