,0,1
0,0.55,0.45
1,0.784,0.216
2,0.916,0.084
3,0.518,0.482
4,0.926,0.074
5,0.36,0.64
6,0.834,0.166
7,0.6,0.4
8,0.862,0.138
9,0.73,0.27
10,0.822,0.178
11,0.976,0.024
12,0.592,0.408
13,0.826,0.174
14,0.808,0.192
15,0.954,0.046
16,0.8,0.2
17,0.968,0.032
18,0.904,0.096
19,0.756,0.244
20,0.95,0.05
21,0.978,0.022
22,0.966,0.034
23,0.994,0.006
24,0.85,0.15
25,0.986,0.014
26,0.69,0.31
27,0.378,0.622
28,0.964,0.036
29,0.928,0.072
30,0.932,0.068
31,0.938,0.062
32,0.976,0.024
33,0.988,0.012
34,0.902,0.098
35,0.914,0.086
36,0.88,0.12
37,0.864,0.136
38,0.67,0.33
39,0.834,0.166
40,0.994,0.006
41,0.72,0.28
42,0.86,0.14
43,0.378,0.622
44,0.99,0.01
45,0.846,0.154
46,0.864,0.136
47,0.998,0.002
48,0.966,0.034
49,0.848,0.152
50,0.936,0.064
51,0.562,0.438
52,0.714,0.286
53,0.29,0.71
54,0.858,0.142
55,0.828,0.172
56,0.854,0.146
57,0.98,0.02
58,0.918,0.082
59,0.51,0.49
