,0,1
0,0.856,0.144
1,0.992,0.008
2,0.104,0.896
3,0.774,0.226
4,0.844,0.156
5,0.106,0.894
6,0.326,0.674
7,0.92,0.08
8,0.104,0.896
9,0.978,0.022
10,0.902,0.098
11,0.732,0.268
12,0.83,0.17
13,0.378,0.622
14,0.158,0.842
15,0.584,0.416
16,0.71,0.29
17,0.928,0.072
18,0.378,0.622
19,0.83,0.17
20,0.992,0.008
21,0.938,0.062
22,0.788,0.212
23,0.116,0.884
24,0.996,0.004
25,0.208,0.792
26,0.926,0.074
27,0.996,0.004
28,0.264,0.736
29,0.512,0.488
30,0.996,0.004
31,0.97,0.03
32,0.316,0.684
33,0.97,0.03
34,0.96,0.04
35,0.996,0.004
36,0.976,0.024
37,0.994,0.006
38,0.704,0.296
39,0.242,0.758
40,0.796,0.204
41,0.102,0.898
42,0.944,0.056
43,0.92,0.08
44,0.974,0.026
45,0.704,0.296
46,0.996,0.004
47,0.146,0.854
48,0.904,0.096
49,0.784,0.216
50,0.554,0.446
51,0.996,0.004
52,0.996,0.004
53,0.996,0.004
54,0.82,0.18
55,0.668,0.332
56,0.78,0.22
57,0.996,0.004
58,0.99,0.01
59,0.104,0.896
