,0,1
0,0.432,0.568
1,0.882,0.118
2,0.368,0.632
3,0.416,0.584
4,0.81,0.19
5,0.692,0.308
6,0.156,0.844
7,0.978,0.022
8,0.988,0.012
9,0.994,0.006
10,0.832,0.168
11,0.478,0.522
12,0.724,0.276
13,0.216,0.784
14,0.92,0.08
15,0.59,0.41
16,0.962,0.038
17,0.854,0.146
18,0.316,0.684
19,0.994,0.006
20,1.0,0.0
21,0.984,0.016
22,0.41,0.59
23,0.912,0.088
24,0.526,0.474
25,0.43,0.57
26,0.464,0.536
27,0.916,0.084
28,0.884,0.116
29,0.746,0.254
30,0.15,0.85
31,0.968,0.032
32,0.912,0.088
33,0.97,0.03
34,0.632,0.368
35,0.372,0.628
36,0.474,0.526
37,0.718,0.282
38,0.752,0.248
39,0.862,0.138
40,0.342,0.658
41,0.992,0.008
42,0.32,0.68
