,0,1
0,0.742,0.258
1,0.936,0.064
2,0.918,0.082
3,0.934,0.066
4,0.742,0.258
5,0.828,0.172
6,0.964,0.036
7,0.088,0.912
8,0.086,0.914
9,0.962,0.038
10,0.948,0.052
11,0.04,0.96
12,0.868,0.132
13,0.934,0.066
14,0.932,0.068
15,0.758,0.242
16,0.934,0.066
17,0.926,0.074
18,0.246,0.754
19,0.234,0.766
20,0.37,0.63
21,0.944,0.056
22,0.924,0.076
23,0.882,0.118
24,0.29,0.71
25,0.944,0.056
26,0.786,0.214
27,0.95,0.05
28,0.23,0.77
29,0.976,0.024
30,0.996,0.004
31,0.624,0.376
32,0.872,0.128
33,0.806,0.194
34,0.85,0.15
35,0.996,0.004
36,0.876,0.124
37,0.888,0.112
38,0.966,0.034
39,0.26,0.74
40,0.092,0.908
41,0.986,0.014
42,0.998,0.002
43,0.992,0.008
44,0.276,0.724
45,0.926,0.074
46,0.132,0.868
47,0.878,0.122
48,0.886,0.114
49,0.454,0.546
50,0.998,0.002
51,0.358,0.642
52,0.874,0.126
53,0.986,0.014
54,0.78,0.22
55,0.524,0.476
56,0.65,0.35
57,0.938,0.062
58,0.93,0.07
59,0.04,0.96
