,0,1
0,0.852,0.148
1,0.87,0.13
2,0.892,0.108
3,0.928,0.072
4,0.96,0.04
5,0.46,0.54
6,0.806,0.194
7,0.964,0.036
8,0.956,0.044
9,0.964,0.036
10,0.32,0.68
11,0.932,0.068
12,0.984,0.016
13,0.92,0.08
14,0.99,0.01
15,0.972,0.028
16,0.712,0.288
17,0.696,0.304
18,0.486,0.514
19,0.752,0.248
20,0.538,0.462
21,0.926,0.074
22,0.956,0.044
23,0.954,0.046
24,0.952,0.048
25,0.946,0.054
26,0.96,0.04
27,0.624,0.376
28,0.98,0.02
29,0.96,0.04
30,0.686,0.314
31,0.574,0.426
32,0.954,0.046
33,0.942,0.058
34,0.776,0.224
35,0.986,0.014
36,0.91,0.09
37,0.952,0.048
38,0.878,0.122
39,0.988,0.012
40,0.986,0.014
41,1.0,0.0
42,0.996,0.004
43,0.96,0.04
44,0.772,0.228
45,0.954,0.046
46,0.64,0.36
47,1.0,0.0
48,0.754,0.246
49,0.874,0.126
50,0.744,0.256
51,1.0,0.0
52,0.98,0.02
53,0.956,0.044
54,0.96,0.04
55,0.96,0.04
56,0.832,0.168
57,0.966,0.034
58,0.952,0.048
59,0.44,0.56
